								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：i		Date：20160830	

			期货公司会员	

名次		会员简称	成交量		增减		
30		兴证期货	10,139		1,207		
31		宏源期货	9,176		-699		
32		广发期货	8,929		923		
33		中国国际	8,837		788		
34		上海中期	8,702		736		
35		中辉期货	8,652		-2,864		
36		信达期货	8,544		-12		
37		宝城期货	8,424		2,751		
38		东航期货	7,679		105		
39		北京首创	7,148		158		
40		上海中财	6,261		839		
41		英大期货	6,150		75		
42		国金期货	5,993		4,771		
43		华信万达	5,798		2,316		
44		国海良时	5,790		-300		
45		国富期货	5,703		4,643		
46		鲁证期货	5,693		665		
47		格林大华	5,330		-850		
48		东海期货	5,225		340		
49		弘业期货	5,083		-554		
50		西部期货	4,875		449		
51		华安期货	4,764		1,295		
52		东兴期货	4,150		37		
53		新湖期货	4,087		-733		
54		东吴期货	3,915		1,245		
55		上海东亚	3,886		-424		
56		道通期货	3,840		-6,491		
57		瑞达期货	3,715		-1,158		
58		美尔雅期货	3,636		-169		
59		迈科期货	3,350		306		
60		中大期货	3,206		-103		
61		兴业期货	3,021		2,538		
62		天风期货	2,535		516		
63		大连良运	2,518		384		
64		中衍期货	2,501		18		
65		铜冠金源	2,460		587		
66		国元期货	2,405		752		
67		同信久恒	2,076		266		
68		恒泰期货	2,060		58		
69		北京金鹏	2,041		-320		
70		倍特期货	1,994		-71		
71		国联期货	1,945		-125		
72		晟鑫期货	1,910		208		
73		招金期货	1,896		-70		
74		福能期货	1,847		82		
75		华融期货	1,743		-14		
76		创元期货	1,696		-418		
77		浙江新世纪	1,548		91		
78		深圳瑞龙	1,527		415		
79		平安期货	1,517		61		
80		德盛期货	1,382		-92		
81		大越期货	1,360		311		
82		渤海期货	1,347		28		
83		海航期货	1,336		-13,911		
84		江西瑞奇	1,324		-56		
85		江苏东华	1,287		-52		
86		华西期货	1,222		-334		
87		金元期货	1,214		206		
88		江苏新纪元	1,152		-78		
89		华联期货	1,083		204		
90		华龙期货	1,079		992		
91		冠通期货	1,046		65		
92		广永期货	979		162		
93		民生期货	963		509		
94		东方汇金	952		465		
95		中融汇信	890		24		
96		上海大陆	888		-251		
97		广州期货	860		96		
98		大有期货	822		-114		
99		长安期货	765		-233		
100		华鑫期货	718		-9		
101		西南期货	712		-57		
102		锦泰期货	652		-387		
103		华创期货	574		-558		
104		南证期货	561		-89		
105		中航期货	559		89		
106		财达期货	535		-46		
107		银建期货	535		-114		
108		湖南金信	498		23		
109		国都期货	452		11		
110		集成期货	424		0		
111		中原期货	413		-112		
112		海证期货	390		-14		
113		中金期货	382		377		
114		山金期货	382		-40		
115		金石期货	377		62		
116		神华期货	364		-58		
117		中州期货	341		-39		
118		汇鑫期货	312		-4		
119		和合期货	292		35		
120		华闻期货	275		19		
121		中银国际	267		-58		
122		云晨期货	236		2		
123		红塔期货	235		112		
124		深圳金汇	232		40		
125		先融期货	207		-88		
126		第一创业	192		13		
127		江信国盛	188		26		
128		鑫鼎盛期货	164		130		
129		新晟期货	151		5		
130		天富期货	115		2		
131		河北恒银	110		-9		
132		九州期货	100		-11		
133		和融期货	95		40		
134		东方期货	90		45		
135		天鸿期货	64		-20		
136		首创京都	59		11		
137		新疆天利	55		35		
138		文峰期货	36		-2		
139		华金期货	35		-201		
140		盛达期货	35		-86		
141		津投期货	29		7		
142		上海浙石	25		-3		
143		山西三立	16		-10		
144		通惠期货	6		-2		
145		大通期货	5		-5		
总计				954,109		48,693		



会员类别	总成交量	增减		
期货公司会员	1,904,520	-353,066	
非期货公司会员	0		0		

会员类别	总持买单量	增减		
期货公司会员	954,109		48,693		
非期货公司会员	0		0		

会员类别	总持卖单量	增减		
期货公司会员	954,109		48,693		
非期货公司会员	0		0		

